1,Boris,Fenna,12/16/2018,415,1,0,6 Canary Road,18624867894
2,Angelia,Hassell,04/21/2019,524,2,1,16690 Morning Plaza,57898719170
3,Tamiko,Stennings,08/15/2018,416,1,0,021 Texas Crossing,45898359403
4,Torey,Colvie,02/05/2019,565,2,0,40 Bartelt Road,18976705803
5,Billie,Dumini,12/12/2018,639,3,0,5 John Wall Junction,75133173691
6,Brenda,Joannet,01/06/2019,537,2,1,8428 Cascade Hill,60072715172
7,Dickie,Wherrit,04/13/2019,339,2,1,016 Texas Hill,19378125158
8,Lazarus,Trenchard,12/19/2018,461,0,1,878 3rd Avenue,23731844626
9,Portie,Sanford,02/26/2019,456,1,0,35200 Huxley Alley,72331328472
10,Shirleen,Roake,08/17/2018,418,3,1,0304 Butternut Circle,31699761623
11,Justino,Surpliss,07/28/2018,542,0,1,141 Logan Crossing,71148024250
12,Bonni,Drayson,05/31/2018,632,2,0,56359 Eagle Crest Way,69265217022
13,Mag,Gowenlock,02/25/2019,344,2,1,29 Hagan Center,11909163387
14,Inge,Antognazzi,11/22/2018,501,0,1,98976 Tomscot Trail,35121946492
15,Sidonia,Hawksley,03/30/2019,525,1,1,2048 Reinke Avenue,15739962475
16,Romy,Vaggs,07/04/2018,653,2,1,99 Loeprich Pass,60076064406
17,Claresta,Cavanaugh,11/08/2018,589,3,0,579 Gina Hill,90982513317
18,Kristoforo,Dobkin,07/15/2018,576,2,0,0401 Mitchell Terrace,36516630509
19,Aloise,Coolbear,08/27/2018,643,3,0,37 Brentwood Park,79540051049
20,Corty,McGuigan,02/19/2019,668,2,1,45514 Transport Trail,19220888808
21,Herschel,Tassell,02/10/2019,650,3,0,35700 Lakeland Crossing,96753054290
22,Art,Carrivick,10/04/2018,498,0,1,44 Corben Pass,06645441132
23,Kim,Wilfing,11/09/2018,545,2,1,3102 Vermont Plaza,46210678895
24,Howie,Eborn,08/02/2018,379,2,0,35357 South Point,42693952280
25,Johna,Sumpner,03/05/2019,561,0,0,324 Jay Terrace,66997739119
26,Diego,Fortie,03/15/2019,514,2,1,36 Reindahl Circle,76700853461
27,Brittne,Pebworth,09/19/2018,559,1,0,71 West Road,22298841832
28,Minda,Gianninotti,04/07/2019,431,3,1,4 Delladonna Circle,12002038919
29,Aura,Shuter,08/06/2018,683,0,0,77657 Southridge Park,19583863118
30,Marcelo,Renak,12/25/2018,651,1,1,393 7th Parkway,79705640119
